however , the few discussions where actual counting is needed are exactly those where the acting <unk> needs to exercise judgement , perform due diligence inspecting user contribution records , etc .	RB , DT JJ NNS WRB JJ NN VBZ VBN VBP RB DT WRB DT VBG NN NNS TO VB NN , NN JJ NN VBG NN NN NNS , FW .	plur	4	10	0	1
however , unlike the previous album , this time all four songs are reworked covers of others ' material .	RB , IN DT JJ NN , DT NN DT CD NNS VBP VBN VBZ IN NNS POS NN .	sing	8	14	0	1
i am interested in seeing price changes in the housing market as being like a spatial wave moving through a medium rather than just something that happens at points , but my understanding of the maths of this is currently very limited .	PRP VBP JJ IN VBG NN NNS IN DT NN NN IN VBG IN DT JJ NN VBG IN DT NN RB IN RB NN WDT VBZ IN NNS , CC PRP$ NN IN DT NNS IN DT VBZ RB RB JJ .	sing	32	38	0	1
i can say that its origins and first century or so are as a <unk> colony called <unk> , with few or no <unk> settlers .	PRP MD VB IN PRP$ NNS CC JJ NN CC RB VBP IN DT JJ NN VBN NNP , IN JJ CC DT JJ NNS .	plur	5	11	0	1
ideas of the feature being abused are pure speculation at this point .	NNS IN DT NN VBG VBN VBP JJ NN IN DT NN .	plur	0	6	0	1
if we are working with two orbiting bodies , then the class of all functions we consider becomes just the conic sections .	IN PRP VBP VBG IN CD VBG NNS , RB DT NN IN DT NNS PRP VBP VBZ RB DT JJ NNS .	sing	11	17	0	1
if you are citing the notability of the <unk> , or the issues of the article then you are right in focusing narrowly on this article .	IN PRP VBP VBG DT NN IN DT NN , CC DT NNS IN DT NN RB PRP VBP JJ IN VBG RB IN DT NN .	plur	12	18	0	1
in 2010 , the company had close to 1 , 000 shareholders , around half of whom live on the isles of <unk> .	IN CD , DT NN VBD RB IN CD , CD NNS , IN NN IN WP VBP IN DT NNP IN NNP .	plur	11	17	0	1
in addition , the vertical lines of the front and back are a little <unk> , so that , when wearing an <unk> , it fits well to one 's head .	IN NN , DT JJ NNS IN DT NN CC RB VBP DT JJ NN , IN IN , WRB VBG DT NN , PRP VBZ RB IN PRP POS NN .	plur	5	11	0	1
in any case , different cells of your body most certainly have different numbers of nuclei and hence different <unk> content .	IN DT NN , JJ NNS IN PRP$ NN RBS RB VBP JJ NNS IN NN CC RB JJ NNP NN .	plur	5	11	0	1
in a part of the legal process ( standing committee a ) <unk> <unk> said <unk> in a liberal democracy , the need to protect minorities properly sometimes means that protection can not be achieved through the ballot box and that some things are not appropriate for a vote .	IN DT NN IN DT JJ NN ( VBG NNP NNP ) NNP NNP VBD `` IN DT JJ NN , DT NN TO VB NNS RB RB VBZ IN NN MD RB VB VBN IN DT NN NN CC IN DT NNS VBP RB JJ IN DT NN .	sing	22	28	0	1
in case of human rights , this means mainly court judgments or very difficult to achieve balanced view of actions happened .	IN NN IN JJ NNS , DT VBZ RB NN NNS CC RB JJ TO VB JJ NN IN NNS VBD .	sing	1	7	0	1
indeed , the only contributors to the article so far appear to have been arc volunteers .	RB , DT JJ NNS IN DT NN RB RB VBP TO VB VBN NNP NNS .	plur	4	10	0	1
<unk> summers where no sound was heard save the <unk> of falling leaves - a suitable accompaniment to our sad thoughts , as we stood in the <unk> of the dead .	JJ NNS WRB DT NN VBD VBN VBP DT NN IN VBG NNS : DT JJ NN IN PRP$ JJ NNS , IN PRP VBD IN DT CD IN DT NN .	plur	1	7	0	1
indications that the pancreas is injured include enlargement and the presence of fluid around the pancreas .	NNS IN DT NN VBZ VBN VBP NN CC DT NN IN NN IN DT NN .	plur	0	6	0	1
in doing this , the permutation of 4 balls from 14 becomes the combination of 4 balls from 14 .	IN VBG DT , DT NN IN CD NNS IN CD VBZ DT NN IN CD NNS IN CD .	sing	5	11	0	1
in fact , the visual evidence and the arguments that she makes as well as the factual information concerning the existence of directed energy weapons is extensive .	IN NN , DT JJ NN CC DT NNS IN PRP VBZ RB RB IN DT JJ NN VBG DT NN IN NNP NNP NNP VBZ JJ .	sing	5	11	0	1
initial continuation training ( 4 weeks ) this consists of detailed and realistic training in weapon handling , vehicle handling , demolitions and small unit patrol tactics .	JJ NN NN ( CD NNS ) DT VBZ IN JJ CC JJ NN IN NN NN , NN NN , NNS CC JJ NN NN NNS .	sing	2	8	0	1
initially the department of justice argued that the captive 's lawyers , and the judges on the panel , needed consider no more evidence than the <unk> summary of evidence memos <unk> prepared for the captives ' <unk> tribunals .	RB DT NNP IN NNP VBD IN DT NN POS NNS , CC DT NNS IN DT NN , VBN VBP DT JJR NN IN DT `` NNP IN NNP NNS '' VBN IN DT NNS POS NNP NNPS .	plur	14	20	0	1
in <unk> 's <unk> castle , the chamber where his experiments were performed is still intact .	IN NNP POS NNP NN , DT NN WRB PRP$ NNS VBD VBN VBZ RB JJ .	sing	7	13	0	1
in <unk> , people under the age of 40 have little proficiency in the native <unk> language .	IN NNP , NNS IN DT NN IN CD VBP JJ NN IN DT JJ NNP NN .	plur	3	9	0	1
i note that the <unk> were able to get some <unk> press mentions in mainstream news publications , but i was not convinced that the actual content of these articles ( mostly features rather than news ) amounted to more than successful <unk> .	PRP VBP IN DT NNS VBD JJ TO VB DT JJ NN NNS IN NN NN NNS , CC PRP VBD RB VBN IN DT JJ NN IN DT NNS ( RB VBZ RB IN NN ) VBD IN JJR IN JJ NN .	sing	26	32	0	1
instead of flowing down the gradient , large scale motions in the atmosphere and ocean tend to occur perpendicular to the pressure gradient .	RB IN VBG RP DT NN , JJ NN NNS IN DT NN CC JJ VBP TO VB JJ IN DT NN NN .	plur	9	15	0	1
in summary , <unk> said that <unk> the plot on <unk> ' may occasionally not work , but these characters at the center of it are so compelling that it 's often all that really matters <unk> .	IN NN , NNP VBD IN `` DT NN IN NNP POS MD RB RB VB , CC DT NNS IN DT NN IN PRP VBP RB JJ IN PRP VBZ RB DT WDT RB VBZ '' .	plur	19	25	0	1
international mounted games association <unk> sport of mounted games as it exists today was founded by <unk> <unk> .	NNP NNP NNPS NNP NNP NN IN JJ NNS IN PRP VBZ NN VBD VBN IN NNP NNP .	sing	5	11	0	1
in the case of hypothyroidism , patients over the age of 45 have more chances of developing autoimmune <unk> .	IN DT NN IN NN , NNS IN DT NN IN CD VBP JJR NNS IN VBG JJ NN .	plur	6	12	0	1
in the united states , restaurants outside the hotel also usually offer better value than hotel restaurants .	IN DT NNP NNPS , NNS IN DT NN RB RB VBP JJR NN IN NN NNS .	plur	5	11	0	1
introduction of stable isotopes , this enables the determination of the amount of peptides that are in both the controls and the <unk> samples .	NN IN JJ NNS , DT VBZ DT NN IN DT NN IN NNS WDT VBP IN CC DT NNS CC DT JJ NNS .	sing	0	6	0	1
introductions and the fact that templates exist for that very purpose .	NNS CC DT NN IN VBZ VBP IN DT RB NN .	plur	0	6	0	1
i see no edit warring , no personal attacks , in fact , i see them both attempting to mediate in other user 's disputes .	PRP VBP DT NN NN , DT JJ NNS , IN NN , PRP VBP PRP DT VBG TO VB IN JJ NN POS NNS .	plur	8	14	0	1
i think your accusations about the way i work are unwarranted .	PRP VBP PRP$ NNS IN DT NN PRP VBP VBP JJ .	plur	3	9	0	1
it is clear that regardless of whether this person created multiple accounts , or has some bad friends , <unk> is very important to him or her .	PRP VBZ JJ IN NN IN IN DT NN VBN JJ NNS , CC VBZ DT JJ NNS , NNP VBZ RB JJ IN PRP CC PRP .	sing	8	14	0	1
it is often advised in such a case , if you truly think that links to a site you run are helpful to articles , that you propose them on the talk page , and allow other editors to judge if they are a good idea or not .	PRP VBZ RB VBN IN PDT DT NN , IN PRP RB VBP IN NNS IN DT NN PRP VBP VBP JJ IN NNS , IN PRP VBP PRP IN DT NN NN , CC VB JJ NNS TO VB IN PRP VBP DT JJ NN CC RB .	plur	14	20	0	1
it is true that we have an unlimited capacity for topics , and i frankly do n't buy the <unk> articles use resources <unk> argument ( the total sum of all articles ever deleted is unlikely to exceed a few <unk> in disk space and network bandwidth ) .	PRP VBZ JJ IN PRP VBP DT JJ NN IN NNS , CC PRP RB VBP RB VB DT `` NNS VBP NNS '' NN ( DT JJ NN IN DT NNS RB VBN VBZ JJ TO VB DT JJ NNS IN NN NN CC NN NN ) .	sing	28	34	0	1
it just appears that way because what 's there is mostly positive in nature , though i do n't think its written in a <unk> way , its just that all the facts about the subject presented here are fairly positive .	PRP RB VBZ DT NN IN WP VBZ EX VBZ RB JJ IN NN , IN PRP VBP RB VB PRP$ VBN IN DT JJ NN , PRP$ RB IN PDT DT NNS IN DT NN VBN RB VBP RB JJ .	plur	32	38	0	1
its arcades to the north and south have octagonal piers and three pointed arches of two <unk> orders .	PRP$ NNS IN DT NN CC RB VBP JJ NNS CC CD VBD NNS IN CD JJ NNS .	plur	1	7	0	1
its designer was <unk> architect <unk> <unk> <unk> , who later designed the dome of the united states capitol , and the united states senate and united states house of representatives wings of the capitol as they exist today .	PRP$ NN VBD NNP NN NNP NNP NNP , WP RB VBD DT NN IN DT NNP NNPS NNP , CC DT NNP NNPS NNP CC NNP NNPS NNP IN NNPS NNS IN DT NNP IN PRP VBP NN .	plur	31	37	0	1
it stands on a rocky outcrop but only the west wall , three stories high , remains .	PRP VBZ IN DT JJ NN CC RB DT NN NN , CD NNS JJ , VBZ .	sing	10	16	0	1
it still shows that your comment ( 3 posts up ) is wrong as i explained above .	PRP RB VBZ IN PRP$ NN ( CD NNS RP ) VBZ JJ IN PRP VBD IN .	sing	5	11	0	1
i would speculate that the person making these entries either only has intermittent access to a computer with this <unk> , or that the entries are made during a manic cycle .	PRP MD VB IN DT NN VBG DT NNS CC RB VBZ JJ NN IN DT NN IN DT NNP , CC IN DT NNS VBP VBN IN DT JJ NN .	sing	5	11	0	1
just direct people to the disambiguation when they search .	RB JJ NNS IN DT NN WRB PRP VBP .	plur	2	8	0	1
keep ; the claim that the landings were faked is unquestionably notable ; splitting the popular culture references from the lengthy main article for convenience is a reasonable solution to the length issue .	RB : DT NN IN DT NNS VBD VBN VBZ RB JJ : VBG DT JJ NN NNS IN DT JJ JJ NN IN NN VBZ DT JJ NN IN DT NN NN .	sing	3	9	0	1
<unk> sites on the internet because you are obviously to incompetent to realize that .	NNS NNS IN DT NN IN PRP VBP RB TO VB TO VB DT .	plur	1	7	0	1
lack of reliable sources and it is unlikely that significant sources will ever be found .	NN IN JJ NNS CC PRP VBZ JJ IN JJ NNS MD RB VB VBN .	sing	0	6	0	1
ladies who provide session wrestling often have a martial arts or athletic background .	NNS WP VBP NN VBG RB VBP DT JJ NNS CC JJ NN .	plur	0	6	0	1
large , hairy canine forms of human legend , they possess a brutal strength and formidable teeth and claws .	NN , JJ NN NNS IN JJ NN , PRP VBP DT JJ NN CC JJ NNS CC NNS .	plur	4	10	0	1
leading features of the church 's interior include a prominent rib vault , two rows of columns in the nave that are topped with <unk> capitals , and an altar built to resemble that of <unk> 's basilica di <unk> <unk> .	VBG NNS IN DT NN POS JJ VBP DT JJ NN NN , CD NNS IN NNS IN DT NN WDT VBP VBN IN JJ NNS , CC DT NN VBN TO VB IN IN NNP POS NNP NN NNP NNP .	plur	1	7	0	1
like many other <unk> , the <unk> <unk> has a cylindrical body , and large tail and pectoral fins that it uses for flight .	IN JJ JJ NNS , DT NNP NN VBZ DT JJ NN , CC JJ NN CC JJ NNS IN PRP VBZ IN NN .	sing	15	21	0	1
look at his fingers when he holds one between thumb and <unk> , he 's squeezing pretty hard .	NN IN PRP$ NNS WRB PRP VBZ CD IN NN CC NN , PRP VBZ VBG RB RB .	sing	0	6	0	1
mammals , on average , also have very poor color vision in contrast to other animal groups .	NNS , IN NN , RB VBP RB JJ NN NN IN NN IN JJ JJ NNS .	plur	0	6	0	1
many books in an era when they meant a lot more .	JJ NNS IN DT NN WRB PRP VBP DT NN RBR .	plur	1	7	0	1
many former members of the group now purportedly belong to other <unk> <unk> <unk> organizations such as the true <unk> <unk> <unk> .	JJ JJ NNS IN DT NN RB RB VBP IN JJ NNP NNP NNP NNS JJ IN DT NNP NNP NNP NNP .	plur	2	8	0	1
members of this family most obviously differ from related slugs in that their <unk> are broadly rounded , and very large , covering the entire body .	NNS IN DT NN RBS RB VBP IN VBN NNS IN DT PRP$ NNS VBP RB VBN , CC RB JJ , VBG DT JJ NN .	plur	0	6	0	1
miles <unk> has noted <unk> the reason why few engineers were active is that the technology was riddled with patents , and that the <unk> company in particular tried to give the impression that they had the sole rights to reinforced concrete .	NNS NNP VBZ VBN `` DT NN WRB JJ NNS VBD JJ VBZ IN DT NN VBD VBN IN NNS , CC IN DT NNP NN IN JJ VBD TO VB DT NN IN PRP VBD DT JJ NNS IN VBN NN .	sing	6	12	0	1
moderate estimates for global capacity by 2020 are 711 <unk> .	JJ NNS IN JJ NN IN CD VBP CD NNP .	plur	1	7	0	1
more modern versions of the tax no longer require an actual stamp .	RBR JJ NNS IN DT NN RB RBR VBP DT JJ NN .	plur	2	8	0	1
most books on the subject assume i have much more or much less mathematical background than i do .	JJS NNS IN DT NN IN PRP VBP RB JJR CC RB JJR JJ NN IN PRP VBP .	plur	1	7	0	1
<unk> ( stuttering child who loves balloons , then pops them once he gets them .	NNP ( VBG NN WP VBZ NNS , RB VBZ PRP RB PRP VBZ PRP .	sing	3	9	0	1
my point here is that the awards that the subject has received are significant and well-known in the public service industry , in fact , i would suggest they are among the most significant and well known , in their industry - public service .	PRP$ NN RB VBZ IN DT NNS IN DT NN VBZ VBN VBP JJ CC JJ IN DT JJ NN NN , IN NN , PRP MD VB PRP VBP IN DT RBS JJ CC RB VBN , IN PRP$ NN : JJ NN .	plur	6	12	0	1
non-governmental <unk> sources ( excluding news ) these are not official sources but are managed from <unk> .	JJ NNP NNS ( VBG NN ) DT VBP RB JJ NNS CC VBP VBN IN NNP .	plur	2	8	0	1
no other facts of his life at all are certain .	DT JJ NNS IN PRP$ NN IN DT VBP JJ .	plur	2	8	0	1
no reliable sources in the sense that we use the term on <unk> .	DT JJ NNS IN DT NN IN PRP VBP DT NN IN NNP .	plur	2	8	0	1
