a growing number of protesters in the north sees with interest the rise of the south <unk> movement , maybe hoping that the southern <unk> may overthrow the government .	DT VBG NN IN NNS IN DT JJ VBZ IN NN DT NN IN DT NNP NNP NNP , RB VBG IN DT JJ NNS MD VB DT NN .	sing	2	8	0	1
<unk> has a fantastic voice , which , when used properly , can carry a song that would have otherwise been fairly ordinary ( prima <unk> being just one example ) and the production on most of the songs is exemplary .	NN VBZ DT JJ NN , WDT , WRB VBN RB , MD VB DT NN WDT MD VB RB VBN RB JJ ( NNP NNP VBG RB CD NN ) CC DT NN IN JJS IN DT NNS VBZ JJ .	sing	33	39	0	1
a guitar amplifier ( or guitar amp ) is an electronic amplifier designed to amplify the electrical signal of an electric or acoustic guitar so that it will produce sound through a loudspeaker .	DT NN NN ( CC VB NN ) VBZ DT JJ NN VBN TO VB DT JJ NN IN DT JJ CC JJ NN RB IN PRP MD VB NN IN DT NN .	sing	2	8	1	0
a hallmark of this new justice system is that it is independent .	DT NN IN DT JJ NN NN VBZ IN PRP VBZ JJ .	sing	1	7	2	0
a <unk> copy of these first rules still exists .	DT JJ NN IN DT JJ NNS RB VBZ .	sing	2	8	0	1
a harbor on the long island sound supports facilities for pleasure boating and is the location of harbor island park , a large public park with beach and sporting facilities .	DT NN IN DT NNP NNP NNP VBZ NNS IN NN NN CC VBZ DT NN IN NNP NNP NNP , DT JJ JJ NN IN NN CC NN NNS .	sing	1	7	3	0
a harder variation that works the same way is the <unk> 360 .	DT JJR NN WDT VBZ DT JJ NN VBZ DT NNP CD .	sing	2	8	1	0
a header field in the post request usually indicates the message body 's internet media type .	DT NN NN IN DT NNP NN RB VBZ DT NN NN POS NNP NNS NN .	sing	2	8	2	0
a health problem brought about by resource extraction is the effect of <unk> ( <unk> ) mining on women and children who work in the mines .	DT NN NN VBN IN IN NN NN VBZ DT NN IN NN ( NN ) NN IN NNS CC NNS WP VBP IN DT NNS .	sing	2	8	2	0
a herbivorous animal such as a horse then eats the substrate , unknowingly consuming the <unk> as well .	DT JJ NN JJ IN DT NN RB VBZ DT NN , RB VBG DT NN RB RB .	sing	2	8	1	0
<unk> , <unk> , wolf , 1978 state that <unk> the association of stove god and god is thus an association of god and family .	NNP , NNP , NNP , CD NN IN `` DT NN IN NNP NNP CC NNP VBZ RB DT NN IN NNP CC NN .	sing	11	17	3	0
a hidden character in the mobile phone version is <unk> , a samurai who attacks with a <unk> .	DT JJ NN IN DT JJ NN NN VBZ NNP , DT NN WP VBZ IN DT NN .	sing	2	8	2	0
a hidden staircase descending from the city walls leads to the foot of this tower and to an underground passage out of the <unk> .	DT JJ NN VBG IN DT NN NNS VBZ IN DT NN IN DT NN CC IN DT JJ NN IN IN DT NNP .	sing	2	8	1	1
a higher level of maturity as an editor is necessary ; that is generally easy to achieve with enough time and a more varied experience on the <unk> .	DT JJR NN IN NN IN DT NN VBZ JJ : WDT VBZ RB JJ TO VB IN JJ NN CC DT RBR JJ NN IN DT NN .	sing	2	8	2	0
a highlight of the gig racing calendar is the annual regatta which takes place in may and attracts crews from all over the country to take part in the round the rock challenge .	DT NN IN DT NN VBG NN VBZ DT NNP NNP WDT VBZ NN IN NNP CC VBZ NNS IN DT IN DT NN TO VB NN IN DT NNP DT NNP NNP .	sing	1	7	2	0
a high rate of inflation during a crisis enables debts that were based on unrealistic expectations to be nonetheless validated , albeit over a longer period than planned and with far less real gain to investors .	DT JJ NN IN NN IN DT NN VBZ NNS WDT VBD VBN IN JJ NNS TO VB RB VBN , IN IN DT JJR NN IN VBN CC IN RB JJR JJ NN IN NNS .	sing	2	8	2	0
a <unk> atmosphere , no doubt , substantially contributes to a positive result .	DT JJ NN , DT NN , RB VBZ IN DT JJ NN .	sing	2	8	1	0
a <unk> roof porch with squared and turned columns runs the full length of the house , and a <unk> addition is located in the rear .	DT VBN NN NN IN VBN CC VBN NNS VBZ DT JJ NN IN DT NN , CC DT JJ NN VBZ VBN IN DT NN .	sing	3	9	0	1
a historic <unk> show such as mind your language has representation on <unk> without having been shown for 27 years .	DT JJ NN NN JJ IN NNP PRP$ NN VBZ NN IN NNP IN VBG VBN VBN IN CD NNS .	sing	3	9	2	0
a history of blood sugar level results is especially useful for the diabetic to present to their doctor or physician in the monitoring and control of the disease .	DT NN IN NN NN NN NNS VBZ RB JJ IN DT JJ TO VB IN PRP$ NN CC NN IN DT NN CC NN IN DT NN .	sing	1	7	3	1
a <unk> becomes the best possibility then ( as it ignores modern borders and nationalism ) , although the idea of the holy roman empire is quite convoluted and complex , and most people would not understand it .	DT JJ VBZ DT JJS NN RB ( IN PRP VBZ JJ NNS CC NN ) , IN DT NN IN DT NNP NNP NNP VBZ RB JJ CC JJ , CC JJS NNS MD RB VB PRP .	sing	19	25	3	0
a huge hangar from the second world war contains the story on the <unk> total <unk> <unk> defence and garrison museum in <unk> , <unk> , covers all components of the <unk> total defence organization .	DT JJ NN IN DT JJ NNP NNP VBZ DT NN IN DT JJ NNP NNP NNP NNP CC NNP NNP IN NNP , NNP , VBZ DT NNS IN DT NNP NNP NNP NN .	sing	2	8	2	0
a human study of 262 primarily elderly individuals indicates that <unk> may decrease influenza symptoms .	DT JJ NN IN CD RB JJ NNS VBZ IN NN MD VB NN NNS .	sing	2	8	0	1
a <unk> group of the united states navy captures the , marking the first time a u .	DT JJ NN IN DT NNP NNPS NNP VBZ DT , VBG DT JJ NN DT NNP .	sing	2	8	2	1
a <unk> molecule or portion of a molecule is one that has a tendency to interact with or be dissolved by water and other polar substances .	DT JJ NN CC NN IN DT NN VBZ CD WDT VBZ DT NN TO VB IN CC VB VBN IN NN CC JJ JJ NNS .	sing	2	8	2	0
aid to the church in need has offices or is otherwise represented in 13 countries .	NN IN DT NNP IN NNP VBZ NNS CC VBZ RB VBN IN CD NNS .	sing	0	6	2	0
airborne company of the special operations battalion is the only army unit equipped with this weapon .	JJ NN IN DT NNP NNP NNP VBZ DT JJ NN NN VBN IN DT NN .	sing	1	7	3	0
<unk> air service to the 1000 islands region is available in both <unk> and new <unk> .	NNP NN NN IN DT CD NNP NN VBZ JJ IN DT NNP CC NNP NNP .	sing	2	8	2	0
air raid on pearl harbor , this is no drill .	NNP NN IN NNP NNP , DT VBZ DT NN .	sing	1	7	2	0
air transport to and from the city is available through <unk> valley international airport .	NNP NN IN CC IN DT NN VBZ JJ IN NNP NNP NNP NNP .	sing	1	7	1	0
a <unk> might pass the star because of fatigue , injury , penalty trouble , or because the pivot is in a better position to score .	DT NN MD VB DT NN IN IN NN , NN , NN NN , CC IN DT NN VBZ IN DT JJR NN TO VB .	sing	13	19	1	0
a jazz pianist living at a beachfront community is about to get married , but his troublesome mistress confronts him at the top of a lighthouse .	DT NN NN VBG IN DT NN NN VBZ IN TO VB VBN , CC PRP$ JJ NN VBZ PRP IN DT NN IN DT NN .	sing	2	8	2	0
a join table design , like shown above , is very common in database design when you have <unk> and <unk> relationships ( e .	DT NN NN NN , IN VBN IN , VBZ RB JJ IN NN NN WRB PRP VBP JJ CC JJ NNS ( NN .	sing	3	9	0	0
a joke uttered with a straight face is one thing , but to keep on saying false things as if they were true is not what we do here on the reference desk .	DT NN VBN IN DT JJ NN VBZ CD NN , CC TO VB IN VBG JJ NNS IN IN PRP VBD JJ VBZ RB WP PRP VBP RB IN DT NNP NNP .	sing	1	7	1	0
a <unk> expansion from 200 to 1 bar follows a curve ( not shown in fig .	DT JJ NN IN CD IN CD NN VBZ DT NN ( RB VBN IN NNP .	sing	2	8	1	0
a journalist when published in a journal has more credibility than on his personal blog , and i would therefore recommend citing only material appearing in non <unk> locations .	DT NN WRB VBN IN DT NN VBZ JJR NN IN IN PRP$ JJ NN , CC PRP MD RB VB VBG RB NN VBG IN NN NNP NNS .	sing	1	7	1	0
a <unk> blade , or sling blade , is a heavy , hooked , steel blade at the end of a handle that is usually made of hickory .	DT NN NN , CC VBG NN , VBZ DT JJ , JJ , NN NN IN DT NN IN DT NN WDT VBZ RB VBN IN NN .	sing	2	8	1	0
a ] <unk> this <unk> house of the early 19th century rises to four storeys , of which the uppermost is an attic .	DT NN NNP DT JJ NN IN DT JJ JJ NN VBZ IN CD NNS , IN WDT DT NN VBZ DT JJ .	sing	5	11	1	0
a <unk> journalist who resides in the us has on several occasions <unk> the us government for its <unk> approach to the issue .	DT JJ NN WP VBZ IN DT NNP VBZ IN JJ NNS VBD DT NNP NN IN PRP$ JJ NN IN DT NN .	sing	2	8	1	0
a key adaptation to long-term survival during hypoxia is the ability of an organism to store large amounts of glycogen .	DT JJ NN IN JJ NN IN NN VBZ DT NN IN DT NN TO VB JJ NNS IN NN .	sing	2	8	2	0
a key distinguishing feature in the western united states is an <unk> colour at the <unk> 's base .	DT JJ NN NN IN DT JJ NNP NNPS VBZ DT JJ NN IN DT NN POS NN .	sing	3	9	1	1
a key factor in many of these cases appears to be the strong social cohesion of toothed whales .	DT JJ NN IN JJ IN DT NNS VBZ TO VB DT JJ JJ NN IN JJ NNS .	sing	2	8	0	1
